username,followers,url,type,notes
branuelcs,61000,https://www.instagram.com/branuelcs/,individual,brandon — CS2 streamer
javybasualdo,69000,https://www.instagram.com/javybasualdo/,individual,JavyBasualdo — CS2 pro/streamer Argentina
znorux,55000,https://www.instagram.com/znorux/,individual,ZNORUX — CS2 creator
flipin1,46000,https://www.instagram.com/flipin1/,individual,Antonio Rivas del Rey — CS2/gaming España
ericanguloleonel,40000,https://www.instagram.com/ericanguloleonel/,individual,Eric Leonel Angulo — CS2 individual
jesusitoshiny,35000,https://www.instagram.com/jesusitoshiny/,individual,jesusitoshiny — Tecnología & Videojuegos
